Year,Country Growth (%),AHS Simple Average (%),MFN Simple Average (%),Export (US$),Import (US$)
1988,6.01,17.99,28.450000000000003,36394113760.0,43617093430.0
1989,3.78,23.740000000000002,46.84,58225985770.0,77402998460.0
1990,12.71,52.93,41.65,73867517850.0,96957815929.99998
1991,6.56,14.67,15.62,103376006330.0,121689855990.0
1992,2.46,14.58,15.84,166404685940.0,190486407630.0
1993,-8.4,12.3,16.1,190361676920.0,209670232140.0
1994,5.54,15.87,18.65,315745347690.0,348752497100.0
1995,10.3,13.08,14.43,425485749650.0,467903672250.0
1996,-0.59,9.8,12.03,428107898090.0,477685651360.0
1997,-1.45,10.45,12.42,426409021200.0,478380666810.0
1998,2.85,10.57,13.09,445409674820.0,503666863460.0
1999,0.24,10.66,12.92,437124790920.0,507796887710.0
2000,2.85,11.23,11.74,469299937870.0,528871322610.0
2001,-1.49,9.62,11.04,466938797520.0,542688732760.0
2002,0.45,10.09,11.51,472817979680.0,589437354680.0
2003,10.77,9.58,10.54,567380411120.0,714276587020.0
2004,9.24,9.01,9.5,674436258820.0,862460576600.0
2005,4.21,8.34,9.85,731300588360.0,927069987600.0
2006,8.75,8.18,9.54,840627458500.0,1043912727080.0
2007,7.18,7.53,9.02,972716168080.0,1251553856640.0
2008,6.1,7.5,9.12,1108214291120.0,1376579924430.0
2009,-11.75,7.07,9.06,864069150330.0,1048698369210.0
2010,6.86,7.24,8.86,943765044420.0,1173763633590.0
2011,9.06,7.24,8.92,1105490126700.0,1377089634230.0
2012,-3.97,6.61,8.73,1045021975070.0,1311009466680.0
2013,1.02,6.84,8.76,1068065939510.0,1355357812400.0
2014,1.16,6.17,8.39,1100062587490.0,1396577177560.0
2015,-6.7,6.15,8.7,961699710670.0,1243069592450.0
2016,0.16,6.66,8.62,967818822890.0,1238742733670.0
2017,2.73,5.66,8.36,1063050623690.0,1342854801130.0
2018,7.45,6.1,8.74,1182722787690.0,1442346350390.0
2019,-2.06,7.06,9.19,1138191259210.0,1367050118960.0
2020,-2.73,6.12,8.3,1092044662420.0001,1291639475470.0
2021,10.2,5.76,8.52,1353626272540.0,1538830199200.0
